t=2026-05-14T12:53:10+0800 lvl=info msg="no configuration paths supplied"
t=2026-05-14T12:53:10+0800 lvl=info msg="using configuration at default config path" path=C:\\Users\\Jianl\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-05-14T12:53:10+0800 lvl=info msg="open config file" path=C:\\Users\\Jianl\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-05-14T12:53:10+0800 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-05-14T12:53:10+0800 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-05-14T12:53:11+0800 lvl=info msg="client session established" obj=tunnels.session
t=2026-05-14T12:53:11+0800 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-05-14T13:09:40+0800 lvl=info msg="join connections" obj=join id=ee86cac6c52f l=127.0.0.1:5000 r=49.196.44.137:14180
t=2026-05-14T13:09:40+0800 lvl=info msg="join connections" obj=join id=36117589e52a l=127.0.0.1:5000 r=49.196.44.137:14180
t=2026-05-14T13:09:40+0800 lvl=info msg="join connections" obj=join id=5733e3c75eeb l=127.0.0.1:5000 r=49.196.44.137:14180
t=2026-05-14T13:09:40+0800 lvl=info msg="join connections" obj=join id=320ba891e379 l=127.0.0.1:5000 r=49.196.44.137:14180
t=2026-05-14T13:09:40+0800 lvl=info msg="join connections" obj=join id=5109bfda168a l=127.0.0.1:5000 r=49.196.44.137:14180
t=2026-05-14T13:09:40+0800 lvl=info msg="join connections" obj=join id=d01117cfb255 l=127.0.0.1:5000 r=49.196.44.137:14180
t=2026-05-14T13:09:40+0800 lvl=info msg="join connections" obj=join id=df2c8a87db45 l=127.0.0.1:5000 r=49.196.44.137:14186
t=2026-05-14T13:09:40+0800 lvl=info msg="join connections" obj=join id=14bf10e9d461 l=127.0.0.1:5000 r=49.196.44.137:14180
t=2026-05-14T13:09:43+0800 lvl=info msg="join connections" obj=join id=88f3f21cafb4 l=127.0.0.1:5000 r=49.196.44.137:14180
t=2026-05-14T13:09:43+0800 lvl=info msg="join connections" obj=join id=72c6958dc6a7 l=127.0.0.1:5000 r=49.196.44.137:14180
t=2026-05-14T13:09:43+0800 lvl=info msg="join connections" obj=join id=b24d934c91b9 l=127.0.0.1:5000 r=49.196.44.137:14180
t=2026-05-14T13:09:43+0800 lvl=info msg="join connections" obj=join id=370704cdeb32 l=127.0.0.1:5000 r=49.196.44.137:14180
t=2026-05-14T13:09:44+0800 lvl=info msg="join connections" obj=join id=cf2bec206146 l=127.0.0.1:5000 r=49.196.44.137:14180
t=2026-05-14T13:09:44+0800 lvl=info msg="join connections" obj=join id=9cbf0e7c382a l=127.0.0.1:5000 r=49.196.44.137:14186
t=2026-05-14T13:09:47+0800 lvl=info msg="join connections" obj=join id=94951fec54ef l=127.0.0.1:5000 r=49.196.44.137:14180
